Classifier,Adult-TestAcc_mean,Bank-TestAcc_mean,Heart-TestAcc_mean,WineRed-TestAcc_mean,Adult-TestF1_mean,Bank-TestF1_mean,Heart-TestF1_mean,WineRed-TestF1_mean
DT,0.806,0.878,0.934,0.841,0.618,0.524,0.934,0.448
KNN,0.761,0.895,0.702,0.859,0.376,0.546,0.714,0.268
LR,0.84,0.899,0.84,0.875,0.644,0.516,0.848,0.375
RF,0.845,0.902,0.953,0.89,0.666,0.549,0.954,0.494
SVM,0.778,0.886,0.685,0.864,0.194,0.339,0.717,0.0
